TAMANY;MITJA;DESVIACIO
1.000;432,664;332,134;
2.000;852,05;658,965;
3.000;1.303,296;1.000,03;
4.000;1.728,558;1.338,545;
5.000;2.141,003;1.651,367;
6.000;2.579,193;1.978,406;
7.000;3.046,393;2.335,514;
8.000;3.451,211;2.675,066;
9.000;3.876,771;2.972,579;
10.000;4.252,512;3.288,686;
11.000;4.715,955;3.627,581;
12.000;5.160,767;3.915,474;
13.000;5.635,816;4.344,761;
14.000;6.124,102;4.690,886;
15.000;6.534,776;4.967,284;
16.000;6.936,598;5.322,088;
17.000;7.326,447;5.655,448;
18.000;7.819,776;6.002,795;
19.000;8.253,998;6.298,606;
20.000;8.822,027;6.692,565;
21.000;9.050,575;6.926,904;
22.000;9.487,89;7.307,52;
23.000;9.930,249;7.645,04;
24.000;10.368,083;7.921,36;
25.000;10.753,467;8.227,969;
26.000;11.359,881;8.653,169;
27.000;11.699,62;8.970,347;
28.000;12.081,172;9.269,947;
29.000;12.487,114;9.599,653;
30.000;12.895,626;9.906,235;
31.000;13.323,004;10.296,669;
32.000;14.024,786;10.635,413;
33.000;14.326,147;10.918,395;
34.000;14.851,783;11.357,856;
35.000;15.109,93;11.611,763;
36.000;15.499,302;11.925,943;
37.000;16.054,637;12.375,216;
38.000;16.474,453;12.649,845;
39.000;16.768,765;12.891,594;
40.000;17.287,187;13.239,642;
41.000;17.846,66;13.665,36;
42.000;18.238,178;13.937,392;
43.000;18.542,064;14.277,158;
44.000;19.149,256;14.668,597;
45.000;19.512,813;14.881,517;
46.000;19.796,415;15.239,346;
47.000;20.305,688;15.594,482;
48.000;20.776,095;15.999,365;
49.000;21.106,997;16.221,525;
50.000;21.558,42;16.613,191;
