TAMANY;MITJA;DESVIACIO
1.000;1;0;
2.000;1;0;
3.000;1,022;0,148;
4.000;1;0;
5.000;1;0;
6.000;1,004;0,06;
7.000;1,026;0,16;
8.000;1,002;0,039;
9.000;1,002;0,039;
10.000;1,001;0,026;
11.000;1,023;0,151;
12.000;1,011;0,105;
13.000;1,008;0,09;
14.000;1,018;0,132;
15.000;1,001;0,024;
16.000;1;0;
17.000;1;0,022;
18.000;1,005;0,072;
19.000;1,038;0,191;
20.000;1,037;0,197;
21.000;1,013;0,111;
22.000;1,016;0,124;
23.000;1,026;0,166;
24.000;1;0,019;
25.000;1,053;0,251;
26.000;1,088;0,303;
27.000;1,066;0,249;
28.000;1,019;0,137;
29.000;1,002;0,04;
30.000;1,004;0,066;
31.000;1,006;0,079;
32.000;1;0,016;
33.000;1,012;0,114;
34.000;1;0;
35.000;1,023;0,155;
36.000;1,003;0,051;
37.000;1;0;
38.000;1;0,02;
39.000;1,059;0,242;
40.000;1,112;0,368;
41.000;1,007;0,084;
42.000;1,003;0,054;
43.000;1,005;0,067;
44.000;1,023;0,155;
45.000;1,004;0,063;
46.000;1,01;0,098;
47.000;1,004;0,061;
48.000;1;0;
49.000;1,019;0,145;
50.000;1,013;0,121;
